Name,Address,Postcode,Type,Latitude,Longitude,Category,Rating
Magnum,132 Spring St,10012,dessert,40.723884,-74.000792,restaurant,3.5
Green & Tonic,85 Railroad Ave,10504,dessert,41.02181698,-73.62528409,restaurant,4.5
Dougie's Standby,604 N Main St,10573,american,41.012273,-73.655869,restaurant,4
Carvel Ice Cream Bakery,604 N Main St,10573,dessert,41.0122184,-73.656222,restaurant,4.5
Pasquale Restaurant,2 Putnam Ave,10573,dessert,41.0117609,-73.6562672,restaurant,4
Alba's  Restaurant,400 N Main St,10573,italian,41.008047,-73.657726,restaurant,4.5
Piccolo,321 N Main St,10573,italian,41.00567,-73.65885,restaurant,4
Franks Pizzeria and Restaurant,23 Putnam Ave,10573,italian,41.01323,-73.65912,restaurant,4
Tarry Lodge,18 Mill St,10573,american,41.004149,-73.659758,restaurant,3
Vinny's Luncheonette,182 N Main St,10573,brunch,41.00444,-73.6603499,restaurant,4
Acuario Restaurant,163 N Main St,10573,brunch,41.00383,-73.66036,restaurant,4
Bartaco,1 Willett Ave,10573,seafood,41.00191978,-73.66043971,restaurant,4.5
China House,170 N Main St,10573,seafood,41.0040669,-73.6606711,restaurant,4
Sonora,179 Rectory St,10573,dessert,41.0094,-73.66082,restaurant,4.5
Saltaire Oyster Bar and Fish House,55 Abendroth Ave,10573,dessert,41.00239949,-73.66094091,restaurant,4
Longford's Own Made Ice Cream,151 Wilkins Ave,10573,dessert,41.00715,-73.66101,restaurant,4.5
Four Guys Deli and Grocery,148 N Main St,10573,american,41.0034,-73.66138581,restaurant,4.5
El Festejo Restaurant,140 N Main St,10573,brunch,41.0032799,-73.66149,restaurant,4
Colony Grill,35 Abendroth Ave,10573,italian,41.00176977,-73.66149177,restaurant,4
Frankie & Louie's Pizza & Restaurant,414 Willett Ave,10573,italian,41.009361,-73.661506,restaurant,4.5
Mcshanes Bar & Restaurant,123 N Main St,10573,brunch,41.002382,-73.661562,restaurant,4
Papa John's Pizza,117 N Main St,10573,pizza,41.00219,-73.6617,restaurant,4
Bona Bona Ice Cream,10 Westchester Ave,10573,italian,40.9998179,-73.6623546,restaurant,4
Pollo A La Brasa Misti Restaurant,110 N Main St,10573,seafood,41.00203817,-73.66238001,restaurant,4.5
Misti Cafe Take Out,100 N Main St,10573,brunch,41.0019907,-73.6623958,restaurant,4
Eugene’s Diner and Bar,112 N Main St,10573,american,41.0021407,-73.66241057,restaurant,4
International Café Brazilian BBQ and Bakery,103 Adee St,10573,dessert,41.0018651,-73.6625515,restaurant,4.5
Panka Grill,112 Willett Ave,10573,seafood,41.0028834,-73.6626924,restaurant,4.5
Roddy's Pizza,46 N Main St,10573,mexican,41.00136821,-73.66276052,restaurant,3.5
Salsa Picante,110 Adee St,10573,seafood,41.0017651,-73.6629958,restaurant,4
Telly's Taverna,108 Abendroth Ave,10573,seafood,41.000879,-73.663009,restaurant,4
Coals,35 1/2 N Main St,10573,italian,41.00087196,-73.66313897,restaurant,4
Texas Chili,36 Broad St,10573,brunch,41.0022641,-73.6643192,restaurant,4.5
Pan America Bakery & Cafe,22 South Main St,10573,american,40.999649,-73.66465,restaurant,3.5
Aqui Es Santa Fe,32 Broad St,10573,dessert,41.0018174,-73.66469303,restaurant,4
Bambu Restaurant & Night Club,30 Broad St,10573,american,41.002014,-73.664696,restaurant,4
Panka Peruvian Bistro,167 Westchester Ave,10573,brunch,41.00177354,-73.66602098,restaurant,4
Inca and Gaucho Restaurant,173 Westchester Ave,10573,american,41.0019127,-73.6660419,restaurant,4
T & J's Pizza & Pasta,10 Pearl St,10573,italian,41.001474,-73.6660713,restaurant,4
Dominick's Ice Cream,null,10573,dessert,41.00107,-73.66619,restaurant,4
Il Coco Pazzo,139 S Main St,10573,italian,40.99738,-73.66662,restaurant,3.5
Bagel Emporium of Port Chester,211 Irving Ave,10573,mexican,41.00343323,-73.66680145,restaurant,4
El Chalan Restaurant,45 Midland Ave,10573,seafood,40.99465,-73.66682,restaurant,4
Panda Restaurant,213 Westchester Ave,10573,pizza,41.00253,-73.6669146,restaurant,4
Hollywood Chicken & International Foods,216 Westchester Ave,10573,seafood,41.00239,-73.66745,restaurant,4
Michael's Famous Pan Pizza & Restaurant,125 Midland Ave,10573,italian,40.99244,-73.66855,restaurant,5
Small Village Cafe,302 Midland Ave,10573,american,40.991372,-73.66925,restaurant,4.5
Antonio's Pizza,130 Midland Ave,10573,italian,40.992469,-73.67012,restaurant,4.5
Burger King,260 Boston Post Rd,10573,american,40.99639389,-73.67134753,restaurant,4
Domino's Pizza,262 Boston Post Rd,10573,pizza,40.99649,-73.672113,restaurant,3.5
Port Chester Coach Diner,317 Boston Post Rd,10573,american,40.994804,-73.672821,restaurant,4.5
Maselli's Delicatessen & Catering,531 Boston Post Rd,10573,pizza,40.99209398,-73.67446197,restaurant,3.5
Carvel,465 Boston Post Rd,10573,dessert,40.9939732,-73.6744722,restaurant,3.5
Smash N' Shake,100 Playland Pkwy,10580,american,40.96531368,-73.67491737,restaurant,3.5
Taco Temptation,199 S Regent St,10573,seafood,40.99989,-73.67527,restaurant,4
Clino's Pizza Pasta & Things,529 Boston Post Rd,10573,italian,40.993035,-73.676121,restaurant,4
Marianaccis,24 Sherman St,10573,italian,40.998748,-73.676811,restaurant,4.5
Incazteca,480 Westchester Ave,10573,seafood,41.0044899,-73.67746735,restaurant,4
A&S Fine Foods,12B Bowman Ave,10573,italian,41.00465588,-73.67817275,restaurant,5
John's Of Arthur Avenue,508 Westchester Ave,10573,italian,41.0045658,-73.6782111,restaurant,4
Belluscio's Restaurent,352 Midland Ave,10580,italian,40.97797,-73.67909,restaurant,4
The Barley Beach House,95 Dearborn Ave,10580,brunch,40.96016799,-73.67936963,restaurant,4
Villa Rustica Pizzeria,261 S Ridge St,10573,italian,40.9999987,-73.6805934,restaurant,4
Elevation Burger,176 South Ridge St,10573,american,41.0017423,-73.6810558,restaurant,4.5
Fortina - Rye Brook,136 S Ridge St,10573,brunch,41.002693,-73.68258,restaurant,4.5
Chopt Creative Salad Co.,116 South Ridge St,10573,mexican,41.003136,-73.683126,restaurant,3.5
Red Mango,104 S Ridge St,10573,dessert,41.00348453,-73.68319096,restaurant,4.5
Town Dock,15 Purdy Ave,10580,american,40.984798,-73.683754,restaurant,4
