"","Organization.Name","Address","City","State","Postcode","Main.Phone..","Discipline","Council.District","Community.Board","Borough","Latitude","Longitude","Census.Tract","BIN","BBL","NTA"
"1","13 Playwrights, Inc.","195 Willoughby Avenue, #402","Brooklyn","NY","11205","(917) 886-6545","Theater","Brooklyn Council District #39","Brooklyn Community Board #6","Brooklyn",40.692048,-73.964181,193,3054896,3019050080,"Clinton Hill"
"2","20/20 Vision for Schools","8225 5th Avenue #323","Brooklyn","NY","11209","(347) 921-4426","Visual Arts","Brooklyn Council District #43","Brooklyn Community Board #10","Brooklyn",40.624082,-74.024838,142,3152153,3060090001,"Bay Ridge"
"3","42nd Street Workshop, Inc.","312 West 36th Street, 4th Floor","New York","NY","10018","(212) 695-4173","Theater","Manhattan Council District #3","Manhattan Community Board #4","Manhattan",40.753755,-73.9932,111,1080495,1007590049,"Hudson Yards-Chelsea-Flatiron-Union Square"
"4","52nd Street Project, Inc.","789 Tenth Avenue","New York","NY","10019","(212) 333-5252","Theater","Manhattan Council District #3","Manhattan Community Board #4","Manhattan",40.766661,-73.990365,135,1087777,1010817502,"Clinton"
"5","A Blade of Grass Fund","81 Prospect Street","Brooklyn","NY","11201","(646) 358-1164","Visual Arts","Manhattan Council District #3","Manhattan Community Board #5","Brooklyn",40.700663,-73.987536,21,3000163,3000640025,"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"6","AAMC Foundation","174 East 80th Street","New York","NY","10075","(646) 405-8057","Visual Arts","Manhattan Council District #5","Manhattan Community Board #8","Manhattan",40.77528,-73.957562,140,1047499,1015080142,"Upper East Side-Carnegie Hill"
"7","ABC No Rio","107 Suffolk Street, #305","New York","NY","10002","(212) 254-3697","Visual Arts","Manhattan Council District #1","Manhattan Community Board #3","Manhattan",40.718943,-73.986122,1402,1004301,1003530054,"Lower East Side"
"8","ACMP Associated Chamber Music Players, Inc.","1133 Broadway, Suite 810","New York","NY","10010","(212) 645-7424","Music","Manhattan Council District #3","Manhattan Community Board #5","Manhattan",40.743523,-73.989073,58,1015625,1008270049,"Hudson Yards-Chelsea-Flatiron-Union Square"
"9","AHL Foundation, Inc.","420 West 23rd Street, #7A","New York","NY","10011","(516) 983-3935","Visual Arts","Manhattan Council District #3","Manhattan Community Board #4","Manhattan",40.746836,-74.002162,93,1012691,1007207501,"Hudson Yards-Chelsea-Flatiron-Union Square"
"10","AKTINA Productions, Inc.","23-50 27th Street","Astoria","NY","11105","(718) 545-1151","Music","Queens Council District #22","Queens Community Board #1","Queens",40.775041,-73.91646,97,4018140,4008540056,"Steinway"
"11","ANDHOW! Theater Company Inc.","138 South Oxford Street, Ste. 4C","Brooklyn","NY","11217","(718) 398-3690","Theater","Brooklyn Council District #35","Brooklyn Community Board #2","Brooklyn",40.685073,-73.973221,179,3000000,3020040048,"Fort Greene"
"12","Abingdon Theatre Company","312 West 36th Street, 6th Floor","New York","NY","10018","(212) 868-2055 x224","Theater","Manhattan Council District #3","Manhattan Community Board #4","Manhattan",40.753755,-73.9932,111,1080495,1007590049,"Hudson Yards-Chelsea-Flatiron-Union Square"
"13","Access Theater","380 Broadway","New York","NY","10013","(212) 966-1047","Theater","Manhattan Council District #1","Manhattan Community Board #1","Manhattan",40.718112,-74.002958,31,1002317,1001950001,"SoHo-TriBeCa-Civic Center-Little Italy"
