Organization Name,Address,City,State,Postcode,Main Phone #,Discipline,Council District,Community Board,Borough,Latitude,Longitude,Census Tract,BIN,BBL,NTA
122 Community Center Inc.,150 First Avenue,New York,NY,10009,(917) 864-5050,,Manhattan Council District #2,,Manhattan,40.728261,-73.984785,34,1005894,1004370001,East Village
"13 Playwrights, Inc.","195 Willoughby Avenue, #402",Brooklyn,NY,11205,(917) 886-6545,Theater,Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn,40.692048,-73.964181,193,3054896,3019050080,Clinton Hill
"1687, Inc.",PO Box 1000,New York,NY,10014,(212) 252-3499,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #2,Manhattan,,,,,,
18 Mai Committee,"832 Franklin Avenue, PMB337",Brooklyn,NY,11225,(718) 270-6935,"Multi-Discipline, Performing",Brooklyn Council District #33,Brooklyn Community Board #6,Brooklyn,40.669459,-73.958419,213,3029691,3011870049,Crown Heights South
20/20 Vision for Schools,8225 5th Avenue #323,Brooklyn,NY,11209,(347) 921-4426,Visual Arts,Brooklyn Council District #43,Brooklyn Community Board #10,Brooklyn,40.624082,-74.024838,142,3152153,3060090001,Bay Ridge
"3 Graces Theater Co., Inc.",P.O. Box 442,New York,NY,10163,(917) 385-0332,Theater,Manhattan Council District #9,Manhattan Community Board #10,Manhattan,,,,,,
3 Legged Dog,80 Greenwich Street,New York,NY,10006,(212) 645-0374,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,40.707514,-74.0138,13,1078977,1000180100,Battery Park City-Lower Manhattan
42nd Street Development Corp.,330 West 42nd Street,New York,NY,10036,(212) 695-4242,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.757661,-73.990832,115,1024926,1010320048,Clinton
"42nd Street Workshop, Inc.","312 West 36th Street, 4th Floor",New York,NY,10018,(212) 695-4173,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.753755,-73.9932,111,1080495,1007590049,Hudson Yards-Chelsea-Flatiron-Union Square
"4heads, Inc.",1022 Pacific St.,Brooklyn,NY,11238,(412) 956-3330,Visual Arts,Brooklyn Council District #35,Brooklyn Community Board #8,Manhattan,,,,,,
"52nd Street Project, Inc.",789 Tenth Avenue,New York,NY,10019,(212) 333-5252,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,40.766661,-73.990365,135,1087777,1010817502,Clinton
"7 Loaves, Inc.","239 East 5th Street, #1D",New York,NY,10003,(212) 777-3891,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #3,Manhattan,40.727345,-73.990305,38,1006629,1004610035,East Village
"826NYC, Inc.",372 Fifth Avenue,Brooklyn,NY,11215,(718) 499-9884,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn,40.671365,-73.984492,137,3021351,3009870042,Park Slope-Gowanus
"A Better Jamaica, Inc.",114-73 178th Street,Jamaica,NY,11434,(718) 657-2605,Film/Video/Audio,Queens Council District #27,Queens Community Board #12,Queens,40.693113,-73.771003,424,4219917,4103120056,St. Albans
A Blade of Grass Fund,81 Prospect Street,Brooklyn,NY,11201,(646) 358-1164,Visual Arts,Manhattan Council District #3,Manhattan Community Board #5,Brooklyn,40.700663,-73.987536,21,3000163,3000640025,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
A Gathering of the Tribes,285 East 3rd Street,New York,NY,10009,(212) 674-8262,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,40.72144,-73.980017,2601,1004405,1003730063,Lower East Side
"A Public Space Literary Projects, Inc.",323 Dean Street,Brooklyn,NY,11217,(718) 858-8067,Literature,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,40.683798,-73.98088,39,3001212,3001927501,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
AAMC Foundation,174 East 80th Street,New York,NY,10075,(646) 405-8057,Visual Arts,Manhattan Council District #5,Manhattan Community Board #8,Manhattan,40.77528,-73.957562,140,1047499,1015080142,Upper East Side-Carnegie Hill
ABAKUA Afro-Latin Dance Company,"250 Ninth Street, 3rd Floor",Brooklyn,NY,11215,(917) 570-6089,Dance,Brooklyn Council District #38,Brooklyn Community Board #6,Brooklyn,40.670589,-73.989218,121,3022243,3010090034,Park Slope-Gowanus
